"","ID_firm_anonym","end_G17"
"1","F0001",6e+05
"2","F0016",5000
"3","F0017",24000
"4","F0020",30000
"5","F0023",16000
"6","F0024",4000
"7","F0037",150000
"8","F0043",0
"9","F0052",1e+05
"10","F0056",70000
"11","F0064",2e+05
"12","F0068",4e+05
"13","F0070",50000
"14","F0071",12000
"15","F0072",1e+05
"16","F0084",1e+05
"17","F0086",30000
"18","F0087",3e+05
"19","F0089",50000
"20","F0091",50000
"21","F0093",750000
"22","F0094",85000
"23","F0097",50000
"24","F0101",22000
"25","F0107",0
"26","F0108",6000
"27","F0115",15000
"28","F0125",50000
"29","F0128",60000
"30","F0132",-30000
"31","F0133",10000
"32","F0140",90000
"33","F0144",80000
"34","F0166",30000
"35","F0167",50000
"36","F0168",6000
"37","F0185",14600
"38","F0187",-75000
"39","F0197",70000
"40","F0199",150000
"41","F0201",25000
"42","F0206",25000
"43","F0210",30000
"44","F0224",35000
"45","F0225",265000
"46","F0226",1e+05
"47","F0229",250000
"48","F0233",1500
"49","F0236",115000
"50","F0240",25000
"51","F0244",20000
"52","F0246",25000
"53","F0247",0
"54","F0248",120000
"55","F0254",30000
"56","F0260",20000
"57","F0261",20000
"58","F0262",130000
"59","F0270",60000
"60","F0271",50000
"61","F0273",150000
"62","F0275",20000
"63","F0288",80000
"64","F0291",0
"65","F0295",30000
"66","F0296",7200
"67","F0297",15000
"68","F0308",40000
"69","F0312",60000
"70","F0315",70000
"71","F0317",72000
"72","F0323",0
"73","F0338",5000
"74","F0341",15000
"75","F0345",55000
"76","F0355",40000
"77","F0361",30000
"78","F0365",20000
"79","F0371",0
"80","F0375",150000
"81","F0379",25000
"82","F0381",45000
"83","F0389",7000
"84","F0394",30000
"85","F0395",60000
"86","F0397",150000
"87","F0405",25000
"88","F0406",4000
"89","F0413",5000
"90","F0420",50000
"91","F0421",3000
"92","F0422",15000
"93","F0423",50000
"94","F0424",5000
"95","F0427",31000
"96","F0429",1e+05
"97","F0435",25000
"98","F0441",14000
"99","F0443",8000
"100","F0450",60000
"101","F0452",90000
"102","F0459",2e+05
"103","F0467",20000
"104","F0471",15000
"105","F0490",25000
"106","F0494",20000
"107","F0495",30000
"108","F0502",30000
"109","F0503",0
"110","F0516",60000
"111","F0518",25000
"112","F0519",1e+05
"113","F0523",35000
"114","F0529",20000
"115","F0533",1500
"116","F0534",15000
"117","F0535",50000
"118","F0540",3e+05
"119","F0543",10000
"120","F0544",84650
"121","F0548",20000
"122","F0553",12000
"123","F0554",10000
"124","F0557",129000
"125","F0561",40000
"126","F0564",1e+05
"127","F0570",80000
"128","F0576",8000
"129","F0580",30000
"130","F0581",30000
"131","F0590",700
"132","F0595",13350
"133","F0602",25000
"134","F0605",2e+05
"135","F0610",120000
"136","F0642",40000
"137","F0643",20000
"138","F0646",30000
"139","F0647",30000
"140","F0651",40000
"141","F0653",0
"142","F0654",6000
"143","F0659",15000
"144","F0661",20000
"145","F0662",25000
"146","F0665",85000
"147","F0676",8000
"148","F0677",0
"149","F0683",1e+05
"150","F0693",70000
"151","F0697",8000
"152","F0700",8000
"153","F0703",60000
"154","F0704",85000
"155","F0709",80000
"156","F0711",192000
"157","F0715",30000
"158","F0717",20000
"159","F0720",60000
"160","F0726",36000
"161","F0729",30000
"162","F0735",60000
"163","F0738",15000
"164","F0740",6750
"165","F0745",0
"166","F0747",50000
"167","F0749",1500000
"168","F0756",15000
"169","F0757",40000
"170","F0758",0
"171","F0768",30000
"172","F0769",0
"173","F0774",5000
"174","F0776",250000
"175","F0781",135000
"176","F0790",20000
"177","F0792",180000
"178","F0807",5000
"179","F0811",5000
"180","F0812",15000
"181","F0819",150000
"182","F0821",50000
"183","F0822",15000
"184","F0825",3e+05
"185","F0826",5000
"186","F0835",26000
"187","F0840",50000
"188","F0846",185000
"189","F0849",40000
"190","F0850",25000
"191","F0852",30000
"192","F0861",10000
"193","F0862",37000
"194","F0865",10000
"195","F0867",70000
"196","F0869",20000
"197","F0870",15000
"198","F0876",10000
"199","F0885",1e+05
"200","F0889",3e+05
"201","F0890",110000
"202","F0891",25000
"203","F0897",0
"204","F0899",12000
"205","F0901",40000
"206","F0904",15000
"207","F0905",10000
"208","F0906",1e+05
"209","F0907",6000
"210","F0911",62000
"211","F0913",95000
"212","F0918",15000
"213","F0919",10000
"214","F0921",4e+05
"215","F0926",50000
"216","F0928",84000
"217","F0929",48000
"218","F0935",38000
"219","F0945",20000
"220","F0953",50000
"221","F0954",36700
"222","F0961",528000
"223","F0968",25000
"224","F0970",12000
"225","F0971",20000
"226","F0973",78000
"227","F0977",50000
"228","F0994",72000
"229","F0996",40000
"230","F1001",65000
"231","F1011",30000
"232","F1014",150000
"233","F1016",40000
"234","F1017",80000
"235","F1019",150000
"236","F1020",10000
"237","F1026",8000
"238","F1029",33000
"239","F1030",30000
"240","F1031",120000
"241","F1032",5e+05
